cpc_id;query;variant;qid;label;description;aliases;lang
F08053;Enrico Frigerio;no;Q130387694;Enrico Frigerio;;[];it
C04197;Ugo Cardenti;no;;;;;
C15453;Antonino Corsello;no;;;;;
T05176;Attilio Triacchini;no;;;;;
M14546;Giuseppe Morandi;no;Q3771048;Giuseppe Morandi;racecar driver;[];it
M14546;Giuseppe Morandi;no;Q112491025;Giuseppe Morandi;;[];it
M14546;Giuseppe Morandi;no;Q139178238;Giuseppe Morandi;;[];it
M14546;Giuseppe Morandi;no;Q3771046;Giuseppe Morandini;Italian geographer (1907–1969);[];it
M14546;Giuseppe Morandi;no;Q3767776;Giovanni Morandi;Italian composer;['Giuseppe Morandi'];it
G11262;Giuseppe Gullo;no;Q64010282;Giuseppe Gullo;researcher (ORCID 0000-0003-4269-4269);[];it
G11262;Giuseppe Gullo;no;Q88721736;Giuseppe Gullo;researcher (ORCID 0000-0001-5325-1055);[];it
G11262;Giuseppe Gullo;no;Q138501221;Giuseppe Gullotti;;[];it
C10789;Pietro Ciabarri;no;;;;;
B00962;Elia Balardi;no;;;;;
C03231;Carlo Caporali;no;Q109466074;Carlo Caporali;Italian footballer;[];it
C03636;Giuseppe Capraro;no;Q93221427;Giuseppe Capraro;;[];it
C05322;Ernesto Carrera;no;;;;;
M00647;Mario Magazzu;no;;;;;
C07508;Cesare Cavaliere;no;;;;;
C15708;Augusto Corti;no;Q56318455;Augusto Córtina Aravena;"20th-century Argentine literary critic; translator; and philologist";['Augusto Cortina'];it
C15320;Edmondo Paride Corradi;no;;;;;
C15320;Edmondo Corradi;yes;;;;;
C15320;Paride Corradi;yes;;;;;
C08128;Oreste (dato incerto) Alberico (dato incerto) Ceccarelli;no;;;;;
C08128;Oreste Ceccarelli;yes;;;;;
C08128;(dato Ceccarelli;yes;;;;;
C08128;incerto) Ceccarelli;yes;;;;;
C08128;Alberico Ceccarelli;yes;;;;;
V01685;Pietro Giovanni Vecellio;no;;;;;
V01685;Pietro Vecellio;yes;Q19361849;Pietro Vecellio;Italian politician;[];it
V01685;Giovanni Vecellio;yes;Q111742349;Giovanni Rosso;;['Giovanni Vecellio'];it
B08678;Andrea Berselli;no;;;;;
B08997;Giuseppe Berti;no;Q3770106;Giuseppe Berti;Italian politician (1901-1979);[];it
B08997;Giuseppe Berti;no;Q18222758;Giuseppe Berti;Italian politician (1899-1979);[];it
B08997;Giuseppe Berti;no;Q102285049;Giuseppe Berti;composer;[];it
B08997;Giuseppe Berti;no;Q125315751;Giuseppe Berti;Italian architect;[];it
B08997;Giuseppe Berti;no;Q106497963;Giuseppe Bertin;Italian astrophysicist (born 1952);[];it
B08997;Giuseppe Berti;no;Q1408787;Giuseppe Bertini;Italian painter (1825-1898);[];it
B08997;Giuseppe Berti;no;Q57063055;Giuseppe Bertini;researcher;[];it
B08997;Giuseppe Berti;no;Q3770105;Giuseppe Bertieri;Italian catholic bishop;[];it
B08997;Giuseppe Berti;no;Q3770108;Giuseppe Bertini;Italian composer (1759-1852);[];it
B08997;Giuseppe Berti;no;Q3770109;Giuseppe Bertini;Italian presbyter and partisan (1918-1944);[];it
