cpc;qid;nom1;nom2;nac1;nac2;sex1;sex2;pais1;pais2;ciudad1;ciudad2;oficio1;oficio2;padre1;padre2;afil1;afil2;num_ent;alias;eval_birth;eval_name;eval_sex;eval_country;eval_city;eval_father;eval_occupation;eval_affiliation;eval_city2
A00679;Q19862970;Giuseppe Agosti;Giuseppe Agostini;1890;1874;m;m;Italia;Italia|Regno d'Italia;Mortizza;Verona;bracciante;cantante lirico;Giovanni;;socialista;tenore italiano (1874-1951);17;;-1;-1;1;1;-1;0;-1;0;0.33333333333333337
A00679;Q3107968;Giuseppe Agosti;Giuseppe Agosti;1890;1715;m;m;Italia;;Mortizza;Belluno;bracciante;botanico|teologo morale;Giovanni;;socialista;botanico italiano;17;;-1;1;1;0;-1;0;-1;0;0.2222222222222222
A00679;Q3107969;Giuseppe Agosti;Giuseppe Agostino Orsi;1890;1692;m;m;Italia;;Mortizza;Firenze;bracciante;sacerdote cattolico|storico|storico della Chiesa|teologo;Giovanni;;socialista;cardinale italiano;17;;-1;-1;1;0;-1;0;-1;0;0.36363636363636365
A00679;Q47410665;Giuseppe Agosti;Giuseppe Agostini;1890;1890;m;m;Italia;;Mortizza;Fano;bracciante;compositore|direttore d'orchestra;Giovanni;;socialista;(1890 - 1971) compositore e direttore d'orchestra;17;;1;-1;1;0;-1;0;-1;0;0.4
A00679;Q59628512;Giuseppe Agosti;Giuseppe Agostino Roggerone;1890;1921;m;m;Italia;Italia;Mortizza;;bracciante;filosofo|professore universitario;Giovanni;;socialista;filosofo e professore universitario italiano (1921-1995);17;;-1;-1;1;1;0;0;-1;0;0.0
A00679;Q61622837;Giuseppe Agosti;Giuseppe Agostinone;1890;1988;m;m;Italia;Italia;Mortizza;Foggia;bracciante;calciatore;Giovanni;;socialista;calciatore italiano;17;;-1;-1;1;1;-1;0;-1;0;0.4
A00679;Q64708102;Giuseppe Agosti;Giuseppe Agostino Salomoni;1890;1800;m;m;Italia;;Mortizza;;bracciante;sacerdote cattolico|vescovo cattolico;Giovanni;;socialista;vescovo cattolico;17;;-1;-1;1;0;0;0;-1;0;0.0
A00679;Q64733130;Giuseppe Agosti;Giuseppe Agostino Delbecchi;1890;1697;m;m;Italia;;Mortizza;;bracciante;chierico regolare|sacerdote cattolico|vescovo cattolico;Giovanni;;socialista;arcivescovo cattolico;17;;-1;-1;1;0;0;0;-1;0;0.0
A00679;Q71592116;Giuseppe Agosti;Giuseppe Agostini;1890;1573;m;m;Italia;;Mortizza;Palermo;bracciante;insegnante;Giovanni;;socialista;docente;17;;-1;-1;1;0;-1;0;-1;0;0.25
A00679;Q99147603;Giuseppe Agosti;Giuseppe Agostini;1890;1930;m;m;Italia;Italia;Mortizza;Supino;bracciante;organista;Giovanni;;socialista;organista, direttore di coro e compositore italiano (1930-2020);17;;-1;-1;1;1;-1;0;-1;0;0.25
A00754;Q1348867;Giuseppe Agostini;Giuseppe Vasi;1875;1710;m;m;Italia;;Ascoli Piceno;Corleone;commerciante;architetto|artista grafico|incisore|pittore;Luigi;;antifascista;incisore e architetto italiano (1710-1782);6;Giuseppe Agostini Vasi;-1;-1;1;0;-1;0;-1;0;0.375
A00754;Q19862970;Giuseppe Agostini;Giuseppe Agostini;1875;1874;m;m;Italia;Italia|Regno d'Italia;Ascoli Piceno;Verona;commerciante;cantante lirico;Luigi;;antifascista;tenore italiano (1874-1951);6;;0;1;1;1;-1;0;-1;0;0.4444444444444444
A00754;Q47410665;Giuseppe Agostini;Giuseppe Agostini;1875;1890;m;m;Italia;;Ascoli Piceno;Fano;commerciante;compositore|direttore d'orchestra;Luigi;;antifascista;(1890 - 1971) compositore e direttore d'orchestra;6;;-1;1;1;0;-1;0;-1;0;0.6666666666666667
A00754;Q71592116;Giuseppe Agostini;Giuseppe Agostini;1875;1573;m;m;Italia;;Ascoli Piceno;Palermo;commerciante;insegnante;Luigi;;antifascista;docente;6;;-1;1;1;0;-1;0;-1;0;0.4615384615384615
A00754;Q99147603;Giuseppe Agostini;Giuseppe Agostini;1875;1930;m;m;Italia;Italia;Ascoli Piceno;Supino;commerciante;organista;Luigi;;antifascista;organista, direttore di coro e compositore italiano (1930-2020);6;;-1;1;1;1;-1;0;-1;0;0.5454545454545454
A00805;Q97066767;Carlo Agrati;Carlo Agrati;1874;1872;m;m;Italia;;Milano;;verificatore linea tranvai;;Giuseppe;;;;1;;-1;1;1;0;0;0;0;0;0.0
A00997;Q136242204;Giovanni Ala;Giovanni Alassane Camara;1883;2005;m;m;Italia;Italia;San Giorio;;operaio;cestista;Vittorio;;antifascista;Italian basketball player (born 2005);7;;-1;-1;1;1;0;0;-1;0;0.0
A00997;Q3766360;Giovanni Ala;Giovanni Alasia;1883;1927;m;m;Italia;Italia|Regno d'Italia;San Giorio;Torino;operaio;partigiano|politico|sindacalista;Vittorio;;antifascista;sindacalista e politico italiano (1927-2015);7;;-1;-1;1;1;-1;0;-1;0;0.8
A00997;Q3766363;Giovanni Ala;Giovanni Alamia;1883;1951;m;m;Italia;Italia;San Giorio;Palermo;operaio;attore|cantautore;Vittorio;;antifascista;attore e cantautore italiano (1951-2000);7;;-1;-1;1;1;-1;0;-1;0;0.4
